"diocese","date_erected","date_metropolitan","rite","lon","lat"
"Baltimore, Maryland","1789-04-06","1808-04-08","Latin",-76.6122,39.2904
"New Orleans, Louisiana","1793-04-25","1850-07-19","Latin",-90.0715,29.9511
"Boston, Massachusetts","1808-04-08","1875-02-12","Latin",-71.0598,42.3584
"Louisville, Kentucky","1808-04-08","1937-12-10","Latin",-85.7585,38.2527
"New York, New York","1808-04-08","1850-07-19","Latin",-74.006,40.7144
"Philadelphia, Pennsylvania","1808-04-08","1875-02-12","Latin",-75.1638,39.9523
"Richmond, Virginia","1820-06-19",NA,"Latin",-77.436,37.5407
"Charleston, South Carolina","1820-07-11",NA,"Latin",-79.9309,32.7766
"Cincinnati, Ohio","1821-06-19","1850-07-19","Latin",-84.512,39.1031
"St. Louis, Missouri","1826-07-18","1847-07-20","Latin",-90.1994,38.627
"Mobile, Alabama","1829-05-15","1980-07-29","Latin",-88.0431,30.6944
"Birmingham, Alabama","1969-06-28",NA,"Latin",-86.8025,33.5207
"Detroit, Michigan","1833-03-08","1937-05-22","Latin",-83.0458,42.3314
"Indianapolis, Indiana","1834-04-12","1944-10-21","Latin",-86.1581,39.7684
"Dubuque, Iowa","1837-07-28","1893-06-15","Latin",-90.6646,42.5006
"Nashville, Tennessee","1837-07-28",NA,"Latin",-86.7833,36.1667
"Jackson, Mississippi","1837-07-28",NA,"Latin",-90.1848,32.2988
"Los Angeles, California","1840-04-27","1936-07-11","Latin",-118.244,34.0522
"Pittsburgh","1843-08-11",NA,"Latin",-79.9959,40.4406
"Hartford, Connecticut","1843-09-18","1953-08-06","Latin",-72.6851,41.7637
"Chicago, Illinois","1843-11-28","1880-09-10","Latin",-87.6298,41.8781
"Little Rock, Arkansas","1843-11-28",NA,"Latin",-92.2896,34.7465
"Milwaukee, Wisconsin","1843-11-28","1875-02-12","Latin",-87.9065,43.0389
"Portland, Oregon","1846-07-24","1850-07-19","Latin",-122.676,45.5235
"Albany, New York","1847-04-23",NA,"Latin",-73.7562,42.6526
"Buffalo, New York","1847-04-23",NA,"Latin",-78.8784,42.8864
"Cleveland, Ohio","1847-04-23",NA,"Latin",-81.6954,41.4995
"Galveston-Houston, Texas","1847-04-23","2004-12-29","Latin",-95.3694,29.7602
"Seattle, Washington","1850-05-31","1951-06-23","Latin",-122.332,47.6062
"Savannah, Georgia","1850-07-03",NA,"Latin",-81.0998,32.0835
"St. Paul-Minneapolis, Minnesota","1850-07-19","1888-05-04","Latin",-93.201,44.9375
"Wheeling-Charleston, West Virginia","1850-07-19",NA,"Latin",-81.6331,38.3451
"Erie, Pennsylvania","1853-07-15",NA,"Latin",-80.0851,42.1292
"Alexandria, Louisiana","1853-07-15",NA,"Latin",-92.4451,31.3113
"Brooklyn, New York","1853-07-29",NA,"Latin",-73.95,40.65
"Burlington, Vermont","1853-07-29",NA,"Latin",-73.2121,44.4759
"Covington, Kentucky","1853-07-29",NA,"Latin",-84.5086,39.0837
"Newark, New Jersey","1853-07-29","1917-12-10","Latin",-74.1724,40.7357
"Portland, Maine","1853-07-29",NA,"Latin",-70.2553,43.6615
"San Francisco, California","1853-07-29","1853-07-29","Latin",-122.419,37.7749
"Santa Fe, New Mexico","1853-07-29","1875-02-12","Latin",-105.938,35.687
"Springfield, Illinois","1853-07-29",NA,"Latin",-89.6501,39.7817
"Marquette, Michigan","1857-01-09",NA,"Latin",-87.3956,46.5476
"Fort Wayne-South Bend, Indiana","1857-09-22",NA,"Latin",-85.2202,41.0541
"Sacramento, California","1868-02-03",NA,"Latin",-121.494,38.5816
"La Crosse, Wisconsin","1868-02-08",NA,"Latin",-91.2396,43.8014
"Columbus, Ohio","1868-03-03",NA,"Latin",-82.9988,39.9612
"Green Bay, Wisconsin","1868-03-03",NA,"Latin",-88.0198,44.5192
"Harrisburg, Pennsylvania","1868-03-03",NA,"Latin",-76.8844,40.2737
"Rochester, New York","1868-03-03",NA,"Latin",-77.6109,43.161
"Wilmington, Delaware","1868-03-09",NA,"Latin",-75.5467,39.7458
"Scranton, Pennsylvania","1868-11-05",NA,"Latin",-75.6624,41.409
"St. Augustine, Florida","1870-03-11",NA,"Latin",-81.3132,29.8943
"Springfield, Massachusetts","1870-06-14",NA,"Latin",-72.5898,42.1015
"Providence, Rhode Island","1872-01-31",NA,"Latin",-71.4128,41.824
"Ogdensburg, New York","1872-02-15",NA,"Latin",-75.4863,44.6942
"San Antonio, Texas","1874-09-03","1926-08-03","Latin",-98.4936,29.4241
"Peoria, Illinois","1875-02-12",NA,"Latin",-89.589,40.6936
"Kansas City, Kansas","1877-05-22","1952-08-09","Latin",-94.6275,39.1141
"Kansas City-St. Joseph, Missouri","1880-09-10",NA,"Latin",-94.8365,39.7579
"Davenport, Iowa","1881-05-08",NA,"Latin",-90.5776,41.5236
"Trenton, New Jersey","1881-07-15",NA,"Latin",-74.7429,40.2171
"Grand Rapids, Michigan","1882-05-19",NA,"Latin",-85.6681,42.9634
"Helena, Montana","1884-03-07",NA,"Latin",-112.027,46.5958
"Manchester, New Hampshire","1884-04-15",NA,"Latin",-71.4548,42.9956
"Omaha, Nebraska","1885-10-02","1945-08-07","Latin",-95.998,41.2524
"Syracuse, New York","1886-11-20",NA,"Latin",-76.1474,43.0481
"Belleville, Illinois","1887-01-07",NA,"Latin",-89.984,38.5201
"Lincoln, Nebraska","1887-08-02",NA,"Latin",-96.6817,40.8069
"Salina, Kansas","1887-08-02",NA,"Latin",-97.6114,38.8403
"Wichita, Kansas","1887-08-02",NA,"Latin",-97.3361,37.6889
"Denver, Colorado","1887-08-08","1941-11-15","Latin",-104.985,39.7376
"St. Cloud, Minnesota","1889-09-22",NA,"Latin",-94.1632,45.5579
"Duluth, Minnesota","1889-10-03",NA,"Latin",-92.1005,46.7867
"Fargo, North Dakota","1889-11-12",NA,"Latin",-96.7898,46.8772
"Sioux Falls, South Dakota","1889-11-12",NA,"Latin",-96.7003,43.55
"Winona, Minnesota","1889-11-26",NA,"Latin",-91.6404,44.0479
"Dallas, Texas","1890-07-15",NA,"Latin",-96.8005,32.7801
"Fort Worth, Texas","1969-08-09",NA,"Latin",-97.3208,32.7254
"Salt Lake City, Utah","1891-01-27",NA,"Latin",-111.891,40.7608
"Boise City, Idaho","1893-08-25",NA,"Latin",-116.215,43.6187
"Tucson, Arizona","1897-05-08",NA,"Latin",-110.926,32.2217
"Altoona-Johnstown, Pennsylvania","1901-05-30",NA,"Latin",-78.5163,40.3557
"Sioux City, Iowa","1902-01-15",NA,"Latin",-96.4003,42.5
"Rapid City, South Dakota","1902-08-04",NA,"Latin",-103.231,44.0805
"Baker, Oregon","1903-06-19",NA,"Latin",-117.834,44.7749
"Fall River, Massachusetts","1904-03-12",NA,"Latin",-71.155,41.7015
"Great Falls-Billings, Montana","1904-05-18",NA,"Latin",-109.766,46.6291
"Superior, Wisconsin","1905-05-03",NA,"Latin",-92.1041,46.7208
"Oklahoma City, Oklahoma","1905-08-23","1972-12-13","Latin",-97.5164,35.4676
"Tulsa, Oklahoma","1972-12-13",NA,"Latin",-95.9928,36.154
"Rockford, Illinois","1908-09-27",NA,"Latin",-89.094,42.2711
"Bismarck, North Dakota","1909-12-31",NA,"Latin",-100.784,46.8083
"Crookston, Minnesota","1909-12-31",NA,"Latin",-96.6094,47.7746
"Toledo, Ohio","1910-04-15",NA,"Latin",-83.5552,41.6639
"Des Moines, Iowa","1911-08-12",NA,"Latin",-93.6091,41.6005
"Grand Island, Nebraska","1912-03-08",NA,"Latin",-98.342,40.9264
"Corpus Christi, Texas","1912-03-23",NA,"Latin",-97.3964,27.8006
"Spokane, Washington","1913-12-17",NA,"Latin",-117.426,47.6588
"El Paso, Texas","1914-03-03",NA,"Latin",-106.487,31.7587
"Lafayette, Louisiana","1918-01-11",NA,"Latin",-92.0198,30.2241
"Monterey, California","1840-04-27",NA,"Latin",-121.895,36.6002
"Fresno, California","1967-10-06",NA,"Latin",-119.773,36.7468
"Raleigh, North Carolina","1924-12-12",NA,"Latin",-78.6382,35.7796
"Amarillo, Texas","1926-08-03",NA,"Latin",-101.831,35.222
"Reno, Nevada","1931-03-27",NA,"Latin",-119.814,39.5296
"San Diego, California","1936-07-01",NA,"Latin",-117.157,32.7153
"Lansing, Michigan","1937-05-22",NA,"Latin",-84.5555,42.7325
"Camden, New Jersey","1937-12-09",NA,"Latin",-75.1196,39.9259
"Owensboro, Kentucky","1937-12-09",NA,"Latin",-87.1112,37.7719
"Paterson, New Jersey","1937-12-09",NA,"Latin",-74.1718,40.9168
"Saginaw, Michigan","1938-02-26",NA,"Latin",-83.9508,43.4195
"Washington, District of Columbia","1939-07-22","1939-07-22","Latin",-77.0365,38.9072
"Gallup, New Mexico","1939-12-16",NA,"Latin",-108.743,35.5281
"Honolulu, Hawaii","1941-09-10",NA,"Latin",-157.858,21.3069
"Pueblo, Colorado","1941-11-15",NA,"Latin",-104.609,38.2544
"Youngstown, Ohio","1943-05-15",NA,"Latin",-80.6495,41.0998
"Evansville, Indiana","1944-10-21",NA,"Latin",-87.5711,37.9716
"Lafayette, Indiana","1944-10-21",NA,"Latin",-86.8753,40.4167
"Steubenville, Ohio","1944-10-21",NA,"Latin",-80.634,40.3698
"Madison, Wisconsin","1946-03-12",NA,"Latin",-89.4012,43.0731
"Austin, Texas","1947-11-15",NA,"Latin",-97.7431,30.2672
"Joliet, Illinois","1948-12-11",NA,"Latin",-88.0817,41.525
"Worcester, Massachusetts","1950-01-14",NA,"Latin",-71.8023,42.2626
"Greensburg, Pennsylvania","1951-03-10",NA,"Latin",-79.5389,40.3015
"Dodge City, Kansas","1951-03-19",NA,"Latin",-100.017,37.7528
"Juneau, Alaska","1951-06-23",NA,"Latin",-134.42,58.3019
"Yakima, Washington","1951-06-23",NA,"Latin",-120.506,46.6021
"Bridgeport, Connecticut","1953-08-06",NA,"Latin",-73.1952,41.1865
"Norwich, Connecticut","1953-08-06",NA,"Latin",-72.0759,41.5243
"Atlanta, Georgia","1956-07-02","1962-02-21","Latin",-84.388,33.749
"Jefferson City, Missouri","1956-07-02",NA,"Latin",-92.1735,38.5767
"Springfield-Cape Girardeau, Missouri","1956-07-02",NA,"Latin",-89.5181,37.3059
"Gary, Indiana","1957-02-25",NA,"Latin",-87.3464,41.5934
"Rockville Centre, New York","1957-04-06",NA,"Latin",-73.6412,40.6587
"New Ulm, Minnesota","1958-01-03",NA,"Latin",-94.4593,44.3144
"Miami, Florida","1958-08-13","1958-05-25","Latin",-80.2264,25.789
"Allentown, Pennsylvania","1961-01-28",NA,"Latin",-75.4902,40.6084
"Baton Rouge, Louisiana","1961-07-20",NA,"Latin",-91.1403,30.4583
"San Angelo, Texas","1961-10-16",NA,"Latin",-100.437,31.4638
"Oakland, California","1962-02-21",NA,"Latin",-122.271,37.8044
"Santa Rosa, California","1962-02-21",NA,"Latin",-122.714,38.4405
"Stockton, California","1962-02-21",NA,"Latin",-121.291,37.9577
"Fairbanks, Alaska","1962-08-08",NA,"Latin",-147.716,64.8378
"Philadelphia, Pennsylvania","1924-05-08","1958-07-10","Byzantine",-75.1638,39.9523
"Stamford, Connecticut","1958-07-10",NA,"Byzantine",-73.5387,41.0534
"Chicago, Illinois","1961-08-14",NA,"Byzantine",-87.6298,41.8781
"Pittsburgh, Pennsylvania","1963-07-06","1969-02-21","Byzantine",-79.9959,40.4406
