diocese,date.erected,date.metropolitan,rite
"Acapulco, Guerrero","March 18, 1958","February 10, 1983",Latin
"Aguascalientes, Aguascalientes","August 27, 1899",,Latin
"Antequera, Oaxaca","June 21, 1535","June 23, 1891",Latin
"Apatzingan, Michoacan","April 30, 1962",,Latin
"Atlacomulco, Mexico","November 3, 1984",,Latin
"Autlan, Jalisco","January 28, 1961",,Latin
"Campeche, Campeche","March 24, 1895",,Latin
"Chihuahua, Chihuahua","June 23, 1891","November 22, 1958",Latin
"Chilpancingo-Chilapa, Guerrero","March 16, 1863",,Latin
"Ciudad Altamirano, Guerrero","October 27, 1964",,Latin
"Ciudad Guzman, Jalisco","March 25, 1972",,Latin
"Ciudad Juarez, Chihuahua","April 10, 1957",,Latin
"Ciudad Lázaro Cárdenas, Michoacán","October 11, 1985",,Latin
"Ciudad Obregón, Sonora","June 20, 1959",,Latin
"Ciudad Valles, San Luís Potosí","November 27, 1960",,Latin
"Ciudad Victoria, Tamaulipas","December 21, 1964",,Latin
"Tampico, Tamaulipas","March 12, 1870",,Latin
"Coatzacoalcos, Veracruz","March 14, 1984",,Latin
"Colima, Colima","December 11, 1881",,Latin
"Córdoba, Veracruz","April 15, 2000",,Latin
"Cuauhtémoc-Madera, Chihuahua","November 17, 1995",,Latin
"Cuautitlán, México","February 5, 1979",,Latin
"Cuernavaca, Morelos","June 23, 1891",,Latin
"Culiacán, Sinaloa","February 16, 1959",,Latin
"Durango, Durango","September 28, 1620","June 23, 1891",Latin
"Ecatepec, México","June 28, 1995",,Latin
"Ensenada, Baja California Norte","January 26, 2007",,Latin
"Gómez Palacio, Durango","November 25, 2008",,Latin
"Guadalajara, Jalisco","July 13, 1548","January 26, 1863",Latin
"Hermosillo, Sonora","May 7, 1779","July 13, 1963",Latin
"Huajuapan de León, Oaxaca","April 25, 1902",,Latin
"Huautla, Oaxaca","October 8, 1972",,Latin
"Huejutla, Hidalgo","November 24, 1922",,Latin
"Irapuato, Guanajuato","January 3, 2004",,Latin
"Jalapa, Veracruz","March 19, 1863","June 29, 1951",Latin
La Paz en la Baja California Sur,"March 21, 1988",,Latin
"León, Guanajuato","January 26, 1863","November 25, 2006",Latin
"Linares, Nuevo León","April 30, 1962",,Latin
"Matamoros, Tamaulipas","February 16, 1958",,Latin
"Matehuala, San Luís Potosí","May 28, 1997",,Latin
"Mazatlán, Sinaloa","November 22, 1958",,Latin
"Mexicali, Baja California Norte","March 25, 1966",,Latin
"México, Federal District","September 2, 1530","February 12, 1546",Latin
"Monterrey, Nuevo León","December 15, 1777","June 23, 1891",Latin
"Morelia, Michoacán","August 11, 1536","January 26, 1863",Latin
"Netzahualcóyotl, México","February 5, 1979",,Latin
Eparchy of Nuestra Señora de los Mártires del Libano en México,"November 6, 1995",,Antiochian
Eparchy of Nuestra Señora del Paraíso en México,"February 27, 1988",,Byzantine
"Nuevo Casas Grandes, Chihuahua","June 3, 2000",,Latin
"Nuevo Laredo, Tamaulipas","November 6, 1989",,Latin
"Orizaba, Veracruz","April 15, 2000",,Latin
"Papantla, Puebla","November 24, 1922",,Latin
"Parral, Chihuahua","May 11, 1992",,Latin
"Piedras Negras, Coahuila","January 8, 2003",,Latin
"Puebla de los Ángeles, Puebla","October 13, 1525","August 11, 1903",Latin
"Puerto Escondido, Oaxaca","November 8, 2003",,Latin
"Querétaro, Querétaro","January 26, 1863",,Latin
"Saltillo, Coahuila","June 23, 1891",,Latin
"San Andrés Tuxtla, Veracruz","May 23, 1959",,Latin
"San Cristóbal de Las Casas, Chiapas","March 19, 1539",,Latin
"San Juan de los Lagos, Jalisco","March 25, 1972",,Latin
"San Luis Potosí, San Luis Potosí","August 31, 1854","November 5, 1988",Latin
"Tabasco, Tabasco","May 25, 1880",,Latin
"Tacámbaro, Michoacán","July 26, 1913",,Latin
"Tapachula, Chiapas","June 19, 1957",,Latin
"Tarahumara, Chihuahua","December 20, 1993",,Latin
"Tehuacán, Puebla","January 13, 1962",,Latin
"Tehuantepec, Oaxaca","June 23, 1891",,Latin
"Tenancingo, México","November 26, 2009",,Latin
"Teotihuacán, México","December 3, 2008",,Latin
"Tepic, Nayarit","June 23, 1891",,Latin
"Texcoco, México","April 30, 1960",,Latin
"Tijuana, Baja California Norte","July 13, 1963","November 25, 2006",Latin
"Tlalnepantla, México","January 13, 1964","June 17, 1989",Latin
"Tlapa, Guerrero","January 4, 1992",,Latin
"Tlaxcala, Tlaxcala","May 23, 1959",,Latin
"Toluca, México","June 4, 1950",,Latin
"Torreón, Coahuila","June 19, 1957",,Latin
"Tula, Hidalgo","February 27, 1961",,Latin
"Tulancingo, Hidalgo","January 26, 1863","November 25, 2006",Latin
"Tuxpan, Veracruz","June 9, 1962",,Latin
"Tuxtepec, Oaxaca","January 8, 1979",,Latin
"Tuxtla Gutiérrez, Chiapas","October 27, 1964","November 25, 2006",Latin
"Valle de Chalco, México","July 8, 2003",,Latin
"Veracruz, Veracruz","June 9, 1962",,Latin
"Yucatán, Yucatán","November 19, 1561","November 11, 1906",Latin
"Zacatecas, Zacatecas","January 26, 1863",,Latin
"Zamora, Michoacán","January 26, 1863",,Latin

# Citation: http://www.catholic-hierarchy.org/country/dmx.html
#
# Explanation: "Diocese" is the name of the diocese, with the name of the province when necessary to clear up ambiguity. "Date.erected" is the date that the diocese was created. "Date.metropolitan" is the date the diocese became a metropolitan see or sometimes just an archdiocese. "Rite" is the ritual observed in the diocese. Regions or institutions with ordinary jurisdiction but not episcopal character are not included.
#
# Data entry: Lincoln Mullen
