diocese,date.erected,date.metropolitan,rite
"Baltimore, Maryland","April 6, 1789","April 8, 1808",Latin
"New Orleans, Louisiana","April 25, 1793","July 19, 1850",Latin
"Boston, Massachusetts","April 8, 1808","February 12, 1875",Latin
"Louisville, Kentucky","April 8, 1808","December 10, 1937",Latin
"New York, New York","April 8, 1808","July 19, 1850",Latin
"Philadelphia, Pennsylvania","April 8, 1808","February 12, 1875",Latin
"Richmond, Virginia","June 19, 1820",,Latin
"Charleston, South Carolina","July 11, 1820",,Latin
"Cincinnati, Ohio","June 19, 1821","July 19, 1850",Latin
"St. Louis, Missouri","July 18, 1826","July 20, 1847",Latin
"Mobile, Alabama","May 15, 1829","July 29, 1980",Latin
"Birmingham, Alabama","June 28, 1969",,Latin
"Detroit, Michigan","March 8, 1833","May 22, 1937",Latin
"Indianapolis, Indiana","April 12, 1834","October 21, 1944",Latin
"Dubuque, Iowa","July 28, 1837","June 15, 1893",Latin
"Nashville, Tennessee","July 28, 1837",,Latin
"Jackson, Mississippi","July 28, 1837",,Latin
"Los Angeles, California","April 27, 1840","July 11, 1936",Latin
Pittsburgh,"August 11, 1843",,Latin
"Hartford, Connecticut","September 18, 1843","August 6, 1953",Latin
"Chicago, Illinois","November 28, 1843","September 10, 1880",Latin
"Little Rock, Arkansas","November 28, 1843",,Latin
"Milwaukee, Wisconsin","November 28, 1843","February 12, 1875",Latin
"Portland, Oregon","July 24, 1846","July 19, 1850",Latin
"Albany, New York","April 23, 1847",,Latin
"Buffalo, New York","April 23, 1847",,Latin
"Cleveland, Ohio","April 23, 1847",,Latin
"Galveston-Houston, Texas","April 23, 1847","December 29, 2004",Latin
"Seattle, Washington","May 31, 1850","June 23, 1951",Latin
"Savannah, Georgia","July 3, 1850",,Latin
"St. Paul-Minneapolis, Minnesota","July 19, 1850","May 4, 1888",Latin
"Wheeling-Charleston, West Virginia","July 19, 1850",,Latin
"Erie, Pennsylvania","July 15, 1853",,Latin
"Alexandria, Louisiana","July 15, 1853",,Latin
"Brooklyn, New York","July 29, 1853",,Latin
"Burlington, Vermont","July 29, 1853",,Latin
"Covington, Kentucky","July 29, 1853",,Latin
"Newark, New Jersey","July 29, 1853","December 10, 1917",Latin
"Portland, Maine","July 29, 1853",,Latin
"San Francisco, California","July 29, 1853","July 29, 1853",Latin
"Santa Fe, New Mexico","July 29, 1853","February 12, 1875",Latin
"Springfield, Illinois","July 29, 1853",,Latin
"Marquette, Michigan","January 9, 1857",,Latin
"Fort Wayne-South Bend, Indiana","September 22, 1857",,Latin
"Sacramento, California","February 3, 1868",,Latin
"La Crosse, Wisconsin","February 8, 1868",,Latin
"Columbus, Ohio","March 3, 1868",,Latin
"Green Bay, Wisconsin","March 3, 1868",,Latin
"Harrisburg, Pennsylvania","March 3, 1868",,Latin
"Rochester, New York","March 3, 1868",,Latin
"Wilmington, Delaware","March 9, 1868",,Latin
"Scranton, Pennsylvania","November 5, 1868",,Latin
"St. Augustine, Florida","March 11, 1870",,Latin
"Springfield, Massachusetts","June 14, 1870",,Latin
"Providence, Rhode Island","January 31, 1872",,Latin
"Ogdensburg, New York","February 15, 1872",,Latin
"San Antonio, Texas","September 3, 1874","August 3, 1926",Latin
"Peoria, Illinois","February 12, 1875",,Latin
"Kansas City, Kansas","May 22, 1877","August 9, 1952",Latin
"Kansas City-St. Joseph, Missouri","September 10, 1880",,Latin
"Davenport, Iowa","May 8, 1881",,Latin
"Trenton, New Jersey","July 15, 1881",,Latin
"Grand Rapids, Michigan","May 19, 1882",,Latin
"Helena, Montana","March 7, 1884",,Latin
"Manchester, New Hampshire","April 15, 1884",,Latin
"Omaha, Nebraska","October 2, 1885","August 7, 1945",Latin
"Syracuse, New York","November 20, 1886",,Latin
"Belleville, Illinois","January 7, 1887",,Latin
"Lincoln, Nebraska","August 2, 1887",,Latin
"Salina, Kansas","August 2, 1887",,Latin
"Wichita, Kansas","August 2, 1887",,Latin
"Denver, Colorado","August 8, 1887","November 15, 1941",Latin
"St. Cloud, Minnesota","September 22, 1889",,Latin
"Duluth, Minnesota","October 3, 1889",,Latin
"Fargo, North Dakota","November 12, 1889",,Latin
"Sioux Falls, South Dakota","November 12, 1889",,Latin
"Winona, Minnesota","November 26, 1889",,Latin
"Dallas, Texas","July 15, 1890",,Latin
"Fort Worth, Texas","August 9, 1969",,Latin
"Salt Lake City, Utah","January 27, 1891",,Latin
"Boise City, Idaho","August 25, 1893",,Latin
"Tucson, Arizona","May 8, 1897",,Latin
"Altoona-Johnstown, Pennsylvania","May 30, 1901",,Latin
"Sioux City, Iowa","January 15, 1902",,Latin
"Rapid City, South Dakota","August 4, 1902",,Latin
"Baker, Oregon","June 19, 1903",,Latin
"Fall River, Massachusetts","March 12, 1904",,Latin
"Great Falls-Billings, Montana","May 18, 1904",,Latin
"Superior, Wisconsin","May 3, 1905",,Latin
"Oklahoma City, Oklahoma","August 23, 1905","December 13, 1972",Latin
"Tulsa, Oklahoma","December 13, 1972",,Latin
"Rockford, Illinois","September 27, 1908",,Latin
"Bismarck, North Dakota","December 31, 1909",,Latin
"Crookston, Minnesota","December 31, 1909",,Latin
"Toledo, Ohio","April 15, 1910",,Latin
"Des Moines, Iowa","August 12, 1911",,Latin
