date,association,city,state,church,organized,members,minister,ordained,settled,race,citation
1853-06,Andover Association,Andover,MA,South,1711,271,Charles Smith,,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Andover,MA,West,1826,224,C. H. Pierce,,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Andover,MA,North,1834,83,W. T. Briggs,,1846,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Andover,MA,Theological Seminary,,,R. Emerson,,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Chelmsford,MA,North,1824,88,B. F. Clark,,1839,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Dracut,MA,First Evangelical Church,1721,88,G. W. Thompson,,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Dracut,MA,West,1797,102,B. Emerson,,1850,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Dracut,MA,East,1835,36,J. Merril,,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Lawrence,MA,First Church,1847,152,H. M. Storrs,,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Lawrence,MA,Central Church,1849,147,W. C. Foster,,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Lowell,MA,First Church,1826,734,W. Child,,1845,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Lowell,MA,Appleton Street Church,1831,392,George Darling,,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Lowell,MA,John Street Church,1839,478,E. B. Foster,,1853,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Lowell,MA,Kirk Street Church,1845,257,A. Blanchard,,1845,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Lowell,MA,High Street Church,1846,151,J. H. Towne,,1847,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Methuen,MA,,1729,245,J. C. Phillips,,1839,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Andover Association,Tewksbury,MA,,1734,144,J. Coggin; R. Tolman,,1806; 1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
1853-06,Berkshire North Association,Adams,MA,North,1827,208,R. Crawford,,1840,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Adams,MA,South,1840,94,J. Jay Dana,,1848,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Becket,MA,North,1849,92,C. H. Norton,,1851,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Dalton,MA,,1785,80,O. M. Sears,,1847,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Hinsdale,MA,,1795,185,P. K. Clark,,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Lanesboro,MA,,1764,54,C. Eddy,,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Peru,MA,,1770,167,J. Knight,,1836,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Pittsfield,MA,First Church,1764,627,J. Todd,,1842,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Pittsfield,MA,Colored,1846,14,S. Harrison,,1850,black,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Pittsfield,MA,South,1850,173,S. Harris,,1851,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Richmond,MA,,1765,70,A. A. Whitmore,,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Washington,MA,,1760,30,E. L. Clark,,1853,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Williamston,MA,[First],1765,290,A. Peters,,1841,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Williamston,MA,South,1835,44,J. Bascom,,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Williamston,MA,College,1834,43,M. Hopkins,,1836,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Windsor,MA,,1772,45,C. Peabody,,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
1853-06,Berkshire North Association,Canaan,NY,,,88,J. Wickens,,1848,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
