city,state,lon,lat,date,association,church,organized,members,minister,ordained,settled,race,citation
Andover,MA,NA,NA,1853-06,Andover Association,South,1711,271,Charles Smith,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Andover,MA,NA,NA,1853-06,Andover Association,West,1826,224,C. H. Pierce,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Andover,MA,NA,NA,1853-06,Andover Association,North,1834,83,W. T. Briggs,NA,1846,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Andover,MA,NA,NA,1853-06,Andover Association,Theological Seminary,NA,NA,R. Emerson,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Chelmsford,MA,NA,NA,1853-06,Andover Association,North,1824,88,B. F. Clark,NA,1839,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Dracut,MA,NA,NA,1853-06,Andover Association,First Evangelical Church,1721,88,G. W. Thompson,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Dracut,MA,NA,NA,1853-06,Andover Association,West,1797,102,B. Emerson,NA,1850,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Dracut,MA,NA,NA,1853-06,Andover Association,East,1835,36,J. Merril,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lawrence,MA,NA,NA,1853-06,Andover Association,First Church,1847,152,H. M. Storrs,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lawrence,MA,NA,NA,1853-06,Andover Association,Central Church,1849,147,W. C. Foster,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,NA,NA,1853-06,Andover Association,First Church,1826,734,W. Child,NA,1845,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,NA,NA,1853-06,Andover Association,Appleton Street Church,1831,392,George Darling,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,NA,NA,1853-06,Andover Association,John Street Church,1839,478,E. B. Foster,NA,1853,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,NA,NA,1853-06,Andover Association,Kirk Street Church,1845,257,A. Blanchard,NA,1845,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,NA,NA,1853-06,Andover Association,High Street Church,1846,151,J. H. Towne,NA,1847,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Methuen,MA,NA,NA,1853-06,Andover Association,,1729,245,J. C. Phillips,NA,1839,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Tewksbury,MA,NA,NA,1853-06,Andover Association,,1734,144,J. Coggin; R. Tolman,NA,1806; 1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Adams,MA,NA,NA,1853-06,Berkshire North Association,North,1827,208,R. Crawford,NA,1840,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Adams,MA,NA,NA,1853-06,Berkshire North Association,South,1840,94,J. Jay Dana,NA,1848,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Becket,MA,NA,NA,1853-06,Berkshire North Association,North,1849,92,C. H. Norton,NA,1851,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Dalton,MA,NA,NA,1853-06,Berkshire North Association,,1785,80,O. M. Sears,NA,1847,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Hinsdale,MA,NA,NA,1853-06,Berkshire North Association,,1795,185,P. K. Clark,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Lanesboro,MA,NA,NA,1853-06,Berkshire North Association,,1764,54,C. Eddy,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Peru,MA,NA,NA,1853-06,Berkshire North Association,,1770,167,J. Knight,NA,1836,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Pittsfield,MA,NA,NA,1853-06,Berkshire North Association,First Church,1764,627,J. Todd,NA,1842,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Pittsfield,MA,NA,NA,1853-06,Berkshire North Association,Colored,1846,14,S. Harrison,NA,1850,black,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Pittsfield,MA,NA,NA,1853-06,Berkshire North Association,South,1850,173,S. Harris,NA,1851,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Richmond,MA,NA,NA,1853-06,Berkshire North Association,,1765,70,A. A. Whitmore,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Washington,MA,NA,NA,1853-06,Berkshire North Association,,1760,30,E. L. Clark,NA,1853,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Williamston,MA,NA,NA,1853-06,Berkshire North Association,[First],1765,290,A. Peters,NA,1841,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Williamston,MA,NA,NA,1853-06,Berkshire North Association,South,1835,44,J. Bascom,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Williamston,MA,NA,NA,1853-06,Berkshire North Association,College,1834,43,M. Hopkins,NA,1836,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Windsor,MA,NA,NA,1853-06,Berkshire North Association,,1772,45,C. Peabody,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Canaan,NY,NA,NA,1853-06,Berkshire North Association,,NA,88,J. Wickens,NA,1848,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Andover,MA,-71.1367953,42.6583356,1853-06,Andover Association,South,1711,271,Charles Smith,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Andover,MA,-71.1367953,42.6583356,1853-06,Andover Association,West,1826,224,C. H. Pierce,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Andover,MA,-71.1367953,42.6583356,1853-06,Andover Association,North,1834,83,W. T. Briggs,NA,1846,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Andover,MA,-71.1367953,42.6583356,1853-06,Andover Association,Theological Seminary,NA,NA,R. Emerson,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Chelmsford,MA,-71.3672838,42.5998139,1853-06,Andover Association,North,1824,88,B. F. Clark,NA,1839,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Dracut,MA,-71.3020052,42.6703687,1853-06,Andover Association,First Evangelical Church,1721,88,G. W. Thompson,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Dracut,MA,-71.3020052,42.6703687,1853-06,Andover Association,West,1797,102,B. Emerson,NA,1850,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Dracut,MA,-71.3020052,42.6703687,1853-06,Andover Association,East,1835,36,J. Merril,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lawrence,MA,-71.1631137,42.7070354,1853-06,Andover Association,First Church,1847,152,H. M. Storrs,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lawrence,MA,-71.1631137,42.7070354,1853-06,Andover Association,Central Church,1849,147,W. C. Foster,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,-71.3161718,42.6334247,1853-06,Andover Association,First Church,1826,734,W. Child,NA,1845,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,-71.3161718,42.6334247,1853-06,Andover Association,Appleton Street Church,1831,392,George Darling,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,-71.3161718,42.6334247,1853-06,Andover Association,John Street Church,1839,478,E. B. Foster,NA,1853,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,-71.3161718,42.6334247,1853-06,Andover Association,Kirk Street Church,1845,257,A. Blanchard,NA,1845,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Lowell,MA,-71.3161718,42.6334247,1853-06,Andover Association,High Street Church,1846,151,J. H. Towne,NA,1847,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Methuen,MA,-71.1908924,42.7262016,1853-06,Andover Association,,1729,245,J. C. Phillips,NA,1839,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Tewksbury,MA,-71.2342248,42.6106478,1853-06,Andover Association,,1734,144,J. Coggin; R. Tolman,NA,1806; 1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 45)
Adams,MA,-73.1174344,42.6242251,1853-06,Berkshire North Association,North,1827,208,R. Crawford,NA,1840,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Adams,MA,-73.1174344,42.6242251,1853-06,Berkshire North Association,South,1840,94,J. Jay Dana,NA,1848,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Becket,MA,-73.0829366,42.3319904,1853-06,Berkshire North Association,North,1849,92,C. H. Norton,NA,1851,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Dalton,MA,-73.1662138,42.4736959,1853-06,Berkshire North Association,,1785,80,O. M. Sears,NA,1847,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
