"city","state","date","association","church","organized","members","minister","ordained","settled","race","citation","lon","lat","jlat","jlon","url"
"Andover","MA","1853-06","Andover Association","South",1711,271,"Charles Smith","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.1367953,42.6583356,42.6534091933815,-71.1382316060361,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Andover","MA","1853-06","Andover Association","West",1826,224,"C. H. Pierce","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.1367953,42.6583356,42.6528890409371,-71.1356733948835,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Andover","MA","1853-06","Andover Association","North",1834,83,"W. T. Briggs","","1846","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.1367953,42.6583356,42.6507755349118,-71.1337240866894,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Andover","MA","1853-06","Andover Association","Theological Seminary",NA,NA,"R. Emerson","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.1367953,42.6583356,42.6634882221654,-71.1269848896885,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Chelmsford","MA","1853-06","Andover Association","North",1824,88,"B. F. Clark","","1839","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3672838,42.5998139,42.5998139,-71.3672838,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Dracut","MA","1853-06","Andover Association","First Evangelical Church",1721,88,"G. W. Thompson","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3020052,42.6703687,42.6771505775054,-71.3074010252959,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Dracut","MA","1853-06","Andover Association","West",1797,102,"B. Emerson","","1850","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3020052,42.6703687,42.6621703570728,-71.2928757412949,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Dracut","MA","1853-06","Andover Association","East",1835,36,"J. Merril","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3020052,42.6703687,42.6749620516204,-71.3022723677868,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Lawrence","MA","1853-06","Andover Association","First Church",1847,152,"H. M. Storrs","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.1631137,42.7070354,42.7071674168898,-71.1716947154811,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Lawrence","MA","1853-06","Andover Association","Central Church",1849,147,"W. C. Foster","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.1631137,42.7070354,42.7022403036827,-71.170926813519,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Lowell","MA","1853-06","Andover Association","First Church",1826,734,"W. Child","","1845","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3161718,42.6334247,42.6411366560271,-71.3203425017665,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Lowell","MA","1853-06","Andover Association","Appleton Street Church",1831,392,"George Darling","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3161718,42.6334247,42.6362181006674,-71.3131097225406,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Lowell","MA","1853-06","Andover Association","John Street Church",1839,478,"E. B. Foster","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3161718,42.6334247,42.6405706655887,-71.3193209898336,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Lowell","MA","1853-06","Andover Association","Kirk Street Church",1845,257,"A. Blanchard","","1845","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3161718,42.6334247,42.6417544020543,-71.3242569645973,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Lowell","MA","1853-06","Andover Association","High Street Church",1846,151,"J. H. Towne","","1847","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.3161718,42.6334247,42.6354685908537,-71.3098904887687,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Methuen","MA","1853-06","Andover Association","",1729,245,"J. C. Phillips","","1839","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.1908924,42.7262016,42.7262016,-71.1908924,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Tewksbury","MA","1853-06","Andover Association","",1734,144,"J. Coggin; R. Tolman","","1806; 1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 45)",-71.2342248,42.6106478,42.6106478,-71.2342248,"https://archive.org/stream/americancongrega04amer#page/45/mode/1up"
"Adams","MA","1853-06","Berkshire North Association","North",1827,208,"R. Crawford","","1840","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.1174344,42.6242251,42.6289172277528,-73.1103156655457,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Adams","MA","1853-06","Berkshire North Association","South",1840,94,"J. Jay Dana","","1848","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.1174344,42.6242251,42.6232995046753,-73.1247418479649,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Becket","MA","1853-06","Berkshire North Association","North",1849,92,"C. H. Norton","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.0829366,42.3319904,42.3329367091531,-73.0933599678056,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Dalton","MA","1853-06","Berkshire North Association","",1785,80,"O. M. Sears","","1847","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.1662138,42.4736959,42.4736959,-73.1662138,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Hinsdale","MA","1853-06","Berkshire North Association","",1795,185,"P. K. Clark","","1852","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.1253799,42.4386967,42.4386967,-73.1253799,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Lanesboro","MA","1853-06","Berkshire North Association","",1764,54,"C. Eddy","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.2281596,42.5173058,42.5173058,-73.2281596,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Peru","MA","1853-06","Berkshire North Association","",1770,167,"J. Knight","","1836","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.0459339,42.4381417,42.4381417,-73.0459339,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Pittsfield","MA","1853-06","Berkshire North Association","First Church",1764,627,"J. Todd","","1842","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.2453824,42.4500845,42.4542590206595,-73.2450725313635,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Pittsfield","MA","1853-06","Berkshire North Association","Colored",1846,14,"S. Harrison","","1850","black","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.2453824,42.4500845,42.4432203208447,-73.2370381259418,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Pittsfield","MA","1853-06","Berkshire North Association","South",1850,173,"S. Harris","","1851","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.2453824,42.4500845,42.4468702085244,-73.2515357563253,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Richmond","MA","1853-06","Berkshire North Association","",1765,70,"A. A. Whitmore","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.3676804,42.3729519,42.3729519,-73.3676804,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Washington","MA","1853-06","Berkshire North Association","",1760,30,"E. L. Clark","","1853","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.116214,42.36592,42.36592,-73.116214,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Williamston","MA","1853-06","Berkshire North Association","[First Congregational Church]",1765,290,"A. Peters","","1841","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.2036898,42.7120196,42.7123063834382,-73.2012908451907,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Williamston","MA","1853-06","Berkshire North Association","South",1835,44,"J. Bascom","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.2036898,42.7120196,42.7064202893225,-73.2149124057486,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Williamston","MA","1853-06","Berkshire North Association","College",1834,43,"M. Hopkins","","1836","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.2036898,42.7120196,42.7068871066378,-73.2062283834024,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Windsor","MA","1853-06","Berkshire North Association","",1772,45,"C. Peabody","","","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.0457124,42.5090217,42.5090217,-73.0457124,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Canaan","NY","1853-06","Berkshire North Association","",NA,88,"J. Wickens","","1848","","The Year-book of the American Congregational Union for the Year 1854 (p. 46)",-73.4470553,42.4120287,42.4113081664563,-73.4511536627547,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Alford","MA","1853-06","Berkshire South Association","",1846,28,"T. Woodbridge","","","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.4134456,42.2356442,42.2356442,-73.4134456,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
"Becket","MA","1853-06","Berkshire South Association","First Church",1759,80,"Z. Whitemore","","1852","","The Year-book of the American Congregational Union for the Year 1854 (pp. 46-47)",-73.0829366,42.3319904,42.3237106131718,-73.0753710382953,"https://archive.org/stream/americancongrega04amer#page/46/mode/1up"
