"","volume","church","page","city","state","start.date","end.date","communion.general","converts","under.instruction","diocese","type","mission.number","communion.adults","communion.children","communion.men","communion.women","order","notes","converts.adult","converts.children","location"
"1",1,"St. Joseph's Church",1,"New York","NY","4/6/1851","4/20/1851",6000,"",NA,"New York","mission",1,5600,400,NA,NA,"Redemptorist","",NA,NA,"New York NY"
"2",1,"St. Michael's Church",6,"Loretto","PA","4/27/1851","5/11/1851",1700,"",NA,"Pittsburgh","mission",2,NA,100,NA,NA,"Redemptorist","",NA,NA,"Loretto PA"
"3",1,"St. Mary's Church",11,"Hollidaysburg","PA","5/18/1851","5/28/1851",1000,"",NA,"Pittsburgh","mission",3,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Hollidaysburg PA"
"4",1,"Church of St. John Evangelist",12,"Johnstown","PA","5/31/1851","6/8/1851",1000,"",NA,"Pittsburgh","mission",4,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Johnstown PA"
"5",1,"St. Peter's Church",15,"New York","NY","9/28/1851","10/12/1851",4000,"",NA,"New York","mission",5,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New York NY"
"6",1,"St. Patrick's Cathedral",18,"New York","NY","10/19/1851","11/3/1851",7000,"",NA,"New York","mission",6,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New York NY"
"7",1,"St. Patrick's Church",20,"Erie","PA","11/17/1851","11/28/1851",1000,"",NA,"Pittsburgh","mission",7,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Erie PA"
"8",1,"St. Philip Benizi Church",22,"Cussewago","PA","12/1/1851","12/8/1851",270,"",NA,"Pittsburgh","mission",8,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Cussewago PA"
"9",1,"St. Vincent's Church (Benedictine)",22,"Youngstown","PA","12/10/1851","12/19/1851",1000,"",NA,"Pittsburgh","mission",9,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Youngstown PA"
"10",1,"St. Peter's Church",23,"Saratoga","NY","1/11/1852","1/22/1852",600,"several",NA,"Albany","mission",10,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Saratoga NY"
"11",1,"St. Peter's Church",27,"Troy","NY","1/25/1852","2/22/1852",3100,"",NA,"Albany","mission",11,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Troy NY"
"12",1,"St. Joseph's Church",28,"Albany","NY","2/29/1852","3/14/1852",4000,"",NA,"Albany","mission",12,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Albany NY"
"13",1,"Ss. Peter and Paul's Cathedral",31,"Detroit","MI","3/21/1852","4/4/1852",3000,"",NA,"Detroit","mission",13,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Detroit MI"
"14",1,"St. John's Church",33,"Philadelphia","PA","5/2/1852","5/16/1852",3000,"",NA,"Philadelphia","mission",14,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Philadelphia PA"
"15",1,"Church of the Assumption",33,"Philadelphia","PA","5/19/1852","5/31/1852",1700,"",NA,"Philadelphia","mission",15,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Philadelphia PA"
"16",1,"St. Bernard's Church",35,"Cohoes","NY","6/10/1852","6/20/1852",1400,"",NA,"Albany","mission",16,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Cohoes NY"
"17",1,"St. James's Cathedral",36,"Wheeling","WV","9/5/1852","9/15/1852",1250,"several",NA,"Wheeling-Charleston","mission",17,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Wheeling WV"
"18",1,"St. Peter's Cathedral",37,"Cincinnati","OH","9/26/1852","10/10/1852",5000,"",NA,"Cincinnati","mission",18,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Cincinnati OH"
"19",1,"Cathedral of the Assumption",38,"Louisville","KY","10/17/1852","10/31/1852",2000,"several",NA,"Louisville","mission",19,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Louisville KY"
"20",1,"Cathedral of the Immaculate Conception",39,"Albany","NY","11/28/1852","12/12/1852",4500,"several",NA,"Albany","mission",20,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Albany NY"
"21",1,"St. Peter's Cathedral",40,"Richmond","VA","12/24/1852","1/3/1853",620,"several",NA,"Richmond","mission",21,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Richmond VA"
"22",1,"St. John's Cathedral",41,"Cleveland","OH","1/23/1853","2/6/1853",2300,"several",NA,"Cleveland","mission",22,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Cleveland OH"
"23",1,"St. Mary's Church",42,"Philadelphia","PA","2/20/1853","3/6/1853",2550,"several",NA,"Philadelphia","mission",23,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Philadelphia PA"
"24",1,"Cathedral of Baltimore",45,"Baltimore","MD","4/10/1853","4/24/1853",4500,"",NA,"Baltimore","mission",24,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Baltimore MD"
"25",1,"St. Ignatius' Church",51,"Harford County","MD","8/28/1853","9/10/1853",320,"",NA,"Baltimore","mission",25,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Harford County MD"
"26",1,"St. Michael's Church",51,"Flushing","NY","9/11/1853","9/18/1853",950,"",NA,"New York","mission",26,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Flushing NY"
"27",1,"St. Peter's Church",52,"New Brighton, Staten Island","NY","9/29/1853","10/3/1853",1200,"",NA,"New York","mission",27,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Brighton, Staten Island NY"
"28",1,"St. Mary's Church",52,"Yonkers","NY","9/29/1853","10/2/1853",550,"",NA,"New York","mission",28,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Yonkers NY"
"29",1,"St. Mary's Church",53,"New York","NY","10/16/1853","10/30/1853",7800,"",NA,"New York","mission",29,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New York NY"
"30",1,"St. Patrick's Church",53,"Norfolk","VA","11/13/1853","11/24/1853",500,"many",NA,"Richmond","mission",30,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Norfolk VA"
"31",1,"St. Paul's Church",55,"Portsmouth","VA","11/13/1853","11/24/1853",330,"10",NA,"Richmond","mission",31,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Portsmouth VA"
"32",1,"St. Peter and Paul's Church",56,"Williamsburg, Brookyln, New York","NY","12/4/1853","12/18/1853",4000,"16",NA,"New York","mission",32,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Williamsburg, Brookyln, New York NY"
"33",1,"St. Patrick's Church",58,"New Orleans","LA","1/15/1854","1/29/1854",3000,"several",NA,"New Orleans","mission",33,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"34",1,"St. Joseph's Church",61,"New Orleans","LA","2/12/1854","2/21/1854",1300,"several",NA,"New Orleans","mission",34,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"35",1,"Cathedral of the Immaculate Conception",62,"Mobile","AL","3/4/1854","3/16/1854",1300,"2",NA,"Mobile","mission",35,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Mobile AL"
