Year,"Total,IncludingArmedForcesOverseas_Aa6_Thousand",ResidentPopulation_Total_Aa7_Thousand,ResidentPopulation_Civilian_Aa8_Thousand
1790,,3929,
1791,,4048,
1792,,4172,
1793,,4299,
1794,,4429,
1795,,4563,
1796,,4701,
1797,,4844,
1798,,4990,
1799,,5141,
1800,,5297,
1801,,5461,
1802,,5632,
1803,,5809,
1804,,5991,
1805,,6180,
1806,,6379,
1807,,6588,
1808,,6797,
1809,,7009,
1810,,7224,
1811,,7436,
1812,,7651,
1813,,7867,
1814,,8085,
1815,,8308,
1816,,8540,
1817,,8790,
1818,,9057,
1819,,9335,
1820,,9618,
1821,,9899,
1822,,10189,
1823,,10488,
1824,,10795,
1825,,11115,
1826,,11449,
1827,,11797,
1828,,12158,
1829,,12525,
1830,,12901,
1831,,13277,
1832,,13676,
1833,,14086,
1834,,14504,
1835,,14917,
1836,,15340,
1837,,15790,
1838,,16224,
1839,,16656,
1840,,17120,
1841,,17612,
1842,,18124,
1843,,18641,
1844,,19157,
1845,,19708,
1846,,20313,
1847,,20987,
1848,,21706,
1849,,22464,
1850,,23261,
1851,,24095,
1852,,24999,
1853,,25911,
1854,,26856,
1855,,27727,
1856,,28497,
1857,,29298,
1858,,30068,
1859,,30780,
1860,,31513,
1861,,32215,
1862,,32889,
1863,,33607,
1864,,34376,
1865,,35182,
1866,,36052,
1867,,36970,
1868,,37885,
1869,,38870,
1870,,39905,
1871,,41010,
1872,,42066,
1873,,43225,
1874,,44429,
1875,,45492,
1876,,46459,
1877,,47400,
1878,,48319,
1879,,49264,
1880,,50262,
1881,,51466,
1882,,52893,
1883,,54435,
1884,,55826,
1885,,57128,
1886,,58258,
1887,,59357,
1888,,60614,
1889,,61893,
1890,,63056,
1891,,64432,
1892,,65920,
1893,,67470,
1894,,68910,
1895,,70076,
1896,,71188,
1897,,72441,
1898,,73600,
1899,,74793,
1900,,76094,
1901,,77584,
1902,,79163,
1903,,80632,
1904,,82166,
1905,,83822,
1906,,85450,
1907,,87008,
1908,,88710,
1909,,90490,
1910,,92407,
1911,,93863,
1912,,95335,
1913,,97225,
1914,,99111,
1915,,100546,
1916,,101961,
1917,103414,103286,102796
1918,104550,103208,101488
1919,105063,104514,104158
1920,,106461,
1921,,108538,
1922,,110049,
1923,,111947,
1924,,114109,
1925,,115829,
1926,,117397,
1927,,119035,
1928,,120509,
1929,,121767,
1930,123188,123077,122923
1931,124149,124040,123686
1932,124949,124840,124694
1933,125690,125579,125436
1934,126485,126374,126228
1935,127362,127250,127099
1936,128181,128053,127879
1937,128961,128825,128639
1938,129969,129825,129635
1939,131028,130880,130683
1940,132122,131954,131658
1941,133402,133121,131595
1942,134860,133920,130942
1943,136739,134245,127499
1944,138397,132885,126708
1945,139928,132481,127573
1946,141389,140054,138385
1947,144126,143446,142566
1948,146631,146093,145168
1949,149188,148665,147578
1950,152271,151868,150790
1951,154878,153982,151599
1952,157553,156393,153892
1953,160184,158956,156595
1954,163026,161884,159695
1955,165931,165069,162967
1956,168903,168088,166055
1957,171984,171187,169110
1958,174882,174149,172226
1959,177830,177135,175277
1960,180671,179979,178140
1961,183691,182992,181143
1962,186538,185771,183677
1963,189242,188483,186493
1964,191889,191141,189141
1965,194303,193526,191605
1966,196560,195576,193420
1967,198712,197457,195264
1968,200706,199399,197113
1969,202677,201385,199145
1970,205052,203984,201895
1971,207661,206827,204866
1972,209896,209284,207511
1973,211909,211357,209600
1974,213854,213342,211636
1975,215973,215465,213789
1976,218035,217563,215894
1977,220239,219760,218106
1978,222585,222095,220467
1979,225055,224567,222969
1980,227726,227225,225621
1981,229966,229466,227818
1982,232188,231664,229995
1983,234307,233792,232097
1984,236348,235825,234110
1985,238466,237924,236219
1986,240651,240133,238412
1987,242804,242289,240550
1988,245021,244499,242817
1989,247342,246819,245131
1990,250132,249623,247983
1991,253493,252981,251370
1992,256894,256514,254929
1993,260255,259919,258446
1994,263436,263126,261714
1995,266557,266278,264927
1996,269667,269394,268108
1997,272912,272647,271394
1998,276115,275854,274633
1999,279295,279040,277841
2000,282339,282125,280939
