"city","state","year","long","lat","confessions","converts","number_missions"
"","IL",1878,-89.3985283,40.6331249,93,0,1
"Abington","MA",1883,-70.9453218,42.1048228,952,0,1
"Abington","MA",1885,-70.9453218,42.1048228,230,0,1
"Adams","MA",1891,-73.1174344,42.6242251,1622,2,1
"Albany","NY",1852,-73.7562317,42.6525793,8500,3,2
"Albany","NY",1873,-73.7562317,42.6525793,2780,2,1
"Albany","NY",1878,-73.7562317,42.6525793,3368,0,1
"Albany","NY",1881,-73.7562317,42.6525793,700,0,1
"Albany","NY",1882,-73.7562317,42.6525793,700,0,1
"Alexis","IL",1892,-90.5559675,41.0633703,200,0,1
"Algonac","MI",1880,-82.531018,42.6183675,150,0,1
"Anderson","IN",1889,-85.6802541,40.1053196,525,6,1
"Ann Arbor","MI",1858,-83.7430378,42.2808256,910,5,1
"Ann Arbor","MI",1879,-83.7430378,42.2808256,740,2,1
"Ansonia","CT",1891,-73.0789969,41.3462078,400,0,1
"Ansonia","CT",1892,-73.0789969,41.3462078,3250,0,1
"Appleton","WI",1881,-88.4153847,44.2619309,620,1,1
"Archibald","PA",1865,-75.5368521,41.4948038,1200,0,1
"Argyle","MI",1892,-82.9359965,43.564207,224,14,1
"Arlington","MA",1874,-71.1564729,42.4153925,1170,4,1
"Atlanta","GA",1856,-84.3879824,33.7489954,190,3,1
"Auburn","NY",1877,-76.5660529,42.9317335,3500,3,1
"Auburn","NY",1885,-76.5660529,42.9317335,3900,2,1
"Auburn","NY",1891,-76.5660529,42.9317335,3480,5,1
"Audenried","PA",1883,-75.991593,40.9106414,1600,1,1
"Augusta","GA",1856,-82.0105148,33.4734978,750,0,1
"Augusta","GA",1890,-82.0105148,33.4734978,1235,1,1
"Aurora","NY",1886,-76.7024485,42.7539591,324,0,1
"Austin","MN",1876,-92.9746367,43.6666296,790,17,1
"Austin","MN",1886,-92.9746367,43.6666296,700,0,1
"Avon","NY",1887,-77.7455583,42.9120072,825,3,1
"Baltimore","MD",1853,-76.6121893,39.2903848,4500,0,1
"Baltimore","MD",1854,-76.6121893,39.2903848,2500,3,1
"Baltimore","MD",1876,-76.6121893,39.2903848,4200,29,1
"Baltimore","MD",1881,-76.6121893,39.2903848,1350,25,1
"Baltimore","MD",1883,-76.6121893,39.2903848,970,1,1
"Baltimore","MD",1884,-76.6121893,39.2903848,2000,2,1
"Baltimore","MD",1885,-76.6121893,39.2903848,2505,0,1
"Baltimore","MD",1886,-76.6121893,39.2903848,920,2,1
"Baltimore","MD",1891,-76.6121893,39.2903848,2970,4,3
"Baltimore","MD",1892,-76.6121893,39.2903848,960,5,1
"Bay City","MI",1877,-83.8888647,43.5944677,1700,7,1
"Bayonne","NJ",1891,-74.1143091,40.6687141,640,0,1
"Beaver Meadows","PA",1883,-75.9146444,40.9281419,535,0,1
"Bellaire","OH",1882,-80.7423054,40.0161843,830,2,1
"Bellefonte","PA",1893,-77.7783348,40.9133943,760,4,1
"Belle Plaine","MN",1876,-93.7684042,44.6230409,1030,4,1
"Belleville","NJ",1859,-74.1500469,40.7936744,1135,2,1
"Belleville","NJ",1889,-74.1500469,40.7936744,1205,0,1
"Bellows Falls","VT",1878,-72.4439772,43.133411,612,1,1
"Bergen Point","NJ",1888,-74.1412543,40.6476033,3890,10,1
"Bergon Point","NJ",1881,-74.1412543,40.6476033,1975,0,1
"Bethel","CT",1887,-73.4139621,41.3712283,430,1,1
"Bethel","CT",1892,-73.4139621,41.3712283,700,0,1
"Biddeford","ME",1891,-70.4533844,43.4925843,1821,0,1
"Birmingham","AL",1886,-86.80249,33.5206608,500,5,1
"Birmingham","AL",1890,-86.80249,33.5206608,870,0,1
"Birmingham","CT",1865,-83.2113192,42.5467012,1600,1,1
"Birmingham","CT",1891,-83.2113192,42.5467012,2801,0,1
"Birmingham","PA",1872,-78.1952892,40.6478421,2150,0,1
"Bloomfield","NJ",1892,-74.1854209,40.8067546,1007,2,1
"Boston","MA",1860,-71.0597732,42.3584308,4550,0,1
"Boston","MA",1863,-71.0597732,42.3584308,3000,0,1
"Boston","MA",1876,-71.0597732,42.3584308,4000,3,1
"Boston","MA",1881,-71.0597732,42.3584308,900,0,1
"Boston","MA",1887,-71.0597732,42.3584308,1120,0,1
"Boston","MA",1889,-71.0597732,42.3584308,8200,0,1
"Boston","MA",1890,-71.0597732,42.3584308,2500,0,1
"Boston","MA",1891,-71.0597732,42.3584308,2600,0,1
"Boston","MA",1892,-71.0597732,42.3584308,2580,0,1
"Boston ","MA",1882,-71.0597732,42.3584308,6370,7,1
"Boulder","CO",1881,-105.2705456,40.0149856,50,1,1
"Brandon","VT",1858,-73.087648,43.7981572,277,0,1
"Brandywine","DE",1857,-75.5343681,39.8295563,920,1,1
"Brattleboro","VT",1874,-72.5578619,42.8509348,570,2,1
"Brazil","IN",1881,-87.1250154,39.523652,335,0,1
"Bridgeport","CT",1859,-73.1951767,41.1865478,1570,0,1
"Bridgeport","CT",1887,-73.1951767,41.1865478,1600,1,1
"Bridgeport","CT",1892,-73.1951767,41.1865478,3450,0,1
"Bridgewater","CT",1879,-73.3662305,41.5350949,1158,0,1
"Brighton","MA",1864,-71.1626756,42.3463503,700,3,1
"Brighton","MA",1891,-71.1626756,42.3463503,3300,0,1
"Broad Brook","CT",1893,-72.5450873,41.9123195,312,0,1
"Brockton","MA",1878,-71.0183787,42.0834335,2322,7,1
"Brockton","MA",1881,-71.0183787,42.0834335,900,0,1
"Brockton","MA",1882,-71.0183787,42.0834335,2918,1,1
"Brookline","MA",1864,-71.1211635,42.3317642,1200,1,1
"Brooklyn","NY",1856,-73.95,40.65,2800,1,1
"Brooklyn","NY",1882,-73.95,40.65,2740,2,1
"Brooklyn","NY",1883,-73.95,40.65,2500,0,2
"Brooklyn","NY",1884,-73.95,40.65,4707,5,1
"Brooklyn","NY",1885,-73.95,40.65,5560,0,1
"Brooklyn","NY",1887,-73.95,40.65,3655,0,1
"Brooklyn","NY",1888,-73.95,40.65,6540,16,2
"Brooklyn","NY",1889,-73.95,40.65,2972,0,1
"Brooklyn","NY",1890,-73.95,40.65,5613,0,1
"Brooklyn","NY",1891,-73.95,40.65,12458,25,4
"Brooklyn","NY",1892,-73.95,40.65,13390,1,4
"Brownsville","MN",1876,-91.2798153,43.6940552,520,8,1
"Buffalo","NY",1855,-78.8783689,42.8864468,3000,3,1
"Buffalo","NY",1873,-78.8783689,42.8864468,4500,7,1
"Burlington","VT",1858,-73.212072,44.4758825,1400,2,1
"Caledonia","MN",1876,-91.4968076,43.6346913,960,6,1
"Cambridge","MA",1862,-71.1097335,42.3736158,2500,2,1
"Cambridgeport","MA",1891,-71.1077157,42.3595761,5165,0,1
"Cameron","PA",1890,-78.1564432,41.4261564,45,0,1
"Camp Grove","IL",1878,-89.6331524,41.0789258,580,1,1
"Canal Fulton","OH",1892,-81.597623,40.8897784,400,1,1
"Canandagua","NY",1855,-77.2816984,42.887535,700,0,1
"Canandaigua","NY",1886,-77.2816984,42.887535,1760,4,1
"Canandaigua","NY",1892,-77.2816984,42.887535,1580,4,1
"Cannon St.","NY",1880,-73.9802919,40.7151188,4530,18,1
"Canton","MA",1890,-71.1447732,42.1584324,1875,0,1
"Canton","MA",1891,-71.1447732,42.1584324,1400,0,1
"Canton","OH",1873,-81.378447,40.7989473,700,22,1
"Carbon","IN",1881,-87.1068681,39.5996395,84,0,1
"Carbondale","PA",1863,-75.5018508,41.5736935,2100,7,1
