volume,page,mission_number,type,church,city,state,start_date,end_date,confessions_total,converts,under_instruction,diocese,confessions_adults,confessions_children,confessions_men,confessions_women,order,notes,converts_adult,converts_children,temperance_pledges,confirmed
1,1,1,mission,St. Joseph's Church,New York,NY,4/6/1851,4/20/1851,6000,,,New York,5600,400,,,Redemptorist,,,,,
1,6,2,mission,St. Michael's Church,Loretto,PA,4/27/1851,5/11/1851,1700,,,Pittsburgh,,100,,,Redemptorist,,,,,
1,11,3,mission,St. Mary's Church,Hollidaysburg,PA,5/18/1851,5/28/1851,1000,,,Pittsburgh,,,,,Redemptorist,,,,,
1,12,4,mission,Church of St. John Evangelist,Johnstown,PA,5/31/1851,6/8/1851,1000,,,Pittsburgh,,,,,Redemptorist,,,,,
1,15,5,mission,St. Peter's Church,New York,NY,9/28/1851,10/12/1851,4000,,,New York,,,,,Redemptorist,,,,,
1,18,6,mission,St. Patrick's Cathedral,New York,NY,10/19/1851,11/3/1851,7000,,,New York,,,,,Redemptorist,,,,,
1,20,7,mission,St. Patrick's Church,Erie,PA,11/17/1851,11/28/1851,1000,,,Pittsburgh,,,,,Redemptorist,,,,,
1,22,8,mission,St. Philip Benizi Church,Cussewago,PA,12/1/1851,12/8/1851,270,,,Pittsburgh,,,,,Redemptorist,,,,,
1,22,9,mission,St. Vincent's Church (Benedictine),Youngstown,PA,12/10/1851,12/19/1851,1000,,,Pittsburgh,,,,,Redemptorist,,,,,
1,23,10,mission,St. Peter's Church,Saratoga,NY,1/11/1852,1/22/1852,600,several,,Albany,,,,,Redemptorist,,,,,
1,27,11,mission,St. Peter's Church,Troy,NY,1/25/1852,2/22/1852,3100,,,Albany,,,,,Redemptorist,,,,,
1,28,12,mission,St. Joseph's Church,Albany,NY,2/29/1852,3/14/1852,4000,,,Albany,,,,,Redemptorist,,,,,
1,31,13,mission,Ss. Peter and Paul's Cathedral,Detroit,MI,3/21/1852,4/4/1852,3000,,,Detroit,,,,,Redemptorist,,,,,
1,33,14,mission,St. John's Church,Philadelphia,PA,5/2/1852,5/16/1852,3000,,,Philadelphia,,,,,Redemptorist,,,,,
