"volume","page","mission_number","type","church","city","state","start_date","end_date","confessions_total","converts","under_instruction","diocese","confessions_adults","confessions_children","confessions_men","confessions_women","order","notes","converts_adult","converts_children","temperance_pledges","confirmed","location","geo.lon","geo.lat"
1,1,1,"mission","St. Joseph's Church","New York","NY","4/6/1851","4/20/1851",6000,"",NA,"New York",5600,400,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,6,2,"mission","St. Michael's Church","Loretto","PA","4/27/1851","5/11/1851",1700,"",NA,"Pittsburgh",NA,100,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Loretto PA",-78.630296,40.5031263
1,11,3,"mission","St. Mary's Church","Hollidaysburg","PA","5/18/1851","5/28/1851",1000,"",NA,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Hollidaysburg PA",-78.3889024,40.4272949
1,12,4,"mission","Church of St. John Evangelist","Johnstown","PA","5/31/1851","6/8/1851",1000,"",NA,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Johnstown PA",-78.9219698,40.3267407
1,15,5,"mission","St. Peter's Church","New York","NY","9/28/1851","10/12/1851",4000,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,18,6,"mission","St. Patrick's Cathedral","New York","NY","10/19/1851","11/3/1851",7000,"",NA,"New York",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"New York NY",-74.0059731,40.7143528
1,20,7,"mission","St. Patrick's Church","Erie","PA","11/17/1851","11/28/1851",1000,"",NA,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Erie PA",-80.085059,42.1292241
1,22,8,"mission","St. Philip Benizi Church","Cussewago","PA","12/1/1851","12/8/1851",270,"",NA,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cussewago PA",-80.2098219,41.7985407
1,22,9,"mission","St. Vincent's Church (Benedictine)","Youngstown","PA","12/10/1851","12/19/1851",1000,"",NA,"Pittsburgh",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Youngstown PA",-79.3655913,40.2797927
1,23,10,"mission","St. Peter's Church","Saratoga","NY","1/11/1852","1/22/1852",600,"several",NA,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Saratoga NY",-73.6300729,43.0448483
1,27,11,"mission","St. Peter's Church","Troy","NY","1/25/1852","2/22/1852",3100,"",NA,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Troy NY",-73.6917851,42.7284117
1,28,12,"mission","St. Joseph's Church","Albany","NY","2/29/1852","3/14/1852",4000,"",NA,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Albany NY",-73.7562317,42.6525793
1,31,13,"mission","Ss. Peter and Paul's Cathedral","Detroit","MI","3/21/1852","4/4/1852",3000,"",NA,"Detroit",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Detroit MI",-83.0457538,42.331427
1,33,14,"mission","St. John's Church","Philadelphia","PA","5/2/1852","5/16/1852",3000,"",NA,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Philadelphia PA",-75.163789,39.952335
1,33,15,"mission","Church of the Assumption","Philadelphia","PA","5/19/1852","5/31/1852",1700,"",NA,"Philadelphia",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Philadelphia PA",-75.163789,39.952335
1,35,16,"mission","St. Bernard's Church","Cohoes","NY","6/10/1852","6/20/1852",1400,"",NA,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cohoes NY",-73.7001187,42.7742446
1,36,17,"mission","St. James's Cathedral","Wheeling","WV","9/5/1852","9/15/1852",1250,"several",NA,"Wheeling-Charleston",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Wheeling WV",-80.7209149,40.0639616
1,37,18,"mission","St. Peter's Cathedral","Cincinnati","OH","9/26/1852","10/10/1852",5000,"",NA,"Cincinnati",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Cincinnati OH",-84.5120196,39.1031182
