year,denomination,membership,received_exam,received_certificate,received_unspecified,baptisms_adults,baptisms_infants,baptisms_unspecified,sunday_school_members,churches,churches_organized,churches_received_other_denominations,churches_dismissed_other_denominations,churches_dissolved,ministers_received_other_denominations,ministers_dismissed_other_denominations,ministers_deceased,ministers,candidates,licentiates,licensures,ordinations,minister_installations,minister_dissolutions,elders,deacons,members_dismissed_dropped,members_deceased,members_dismissed_by_certificate,members_reserve_suspended_roll,members_absentees,members_restored,members_resident,members_nonresident,manses,every_member_plan_churches
1826,Presbyterians,127440,,,,,,12846,,1819,,,,,,,,1127,204,187,,,,,,,,,,,,,,,,
1827,Presbyterians,135285,,,12938,2965,10229,,,1887,,,,,,,,1214,229,218,,,,,,,,,,,,,,,,
1828,Presbyterians,146308,,,15095,3389,10790,,,1968,,,,,,,,1285,242,194,,,,,,,,,,,,,,,,
1829,Presbyterians,162816,14846,3155,,3982,12171,,,2070,,,,,,,,1393,195,205,,,,,,,,,,,,,,,,
1830,Presbyterians,173329,11748,4237,,3255,12202,,,2158,,,,,,,,1491,228,220,,,,,,,,,,,,,,,,
1831,Presbyterians,182017,15357,4997,,4390,12198,,,2253,,,,,,,,1584,215,216,,,,,,,,,,,,,,,,
1832,Presbyterians,217348,34160,6886,,9650,13246,,,2381,,,,,,,,1730,220,205,,,,,,,,,,,,,,,,
1833,Presbyterians,233580,23546,7252,,6950,14035,,,2500,,,,,,,,1855,229,215,,,,,,,,,,,,,,,,
1834,Presbyterians,247964,20296,8145,,5738,13004,,,2648,,,,,,,,1914,185,236,,,,,,,,,,,,,,,,
1835,Presbyterians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Presbyterians,219126,11512,7737,,2729,11089,,,2807,,,,,,,,1972,250,253,,,,,,,,,,,,,,,,
1837,Presbyterians,220557,11580,9315,,3031,11697,,,2865,,,,,,,,2140,244,280,,,,,,,,,,,,,,,,
1838,Old School Branch,177665,9562,7947,,2692,10164,,,2343,,,,,,,,1690,228,212,,,,,,,,,,,,,,,,
1839,Old School Branch,128043,6377,4127,,1644,7712,,,1823,,,,,,,,1243,175,192,,,,,,,,,,,,,,,,
1840,Old School Branch,126583,6944,4200,,1741,7844,,,1763,,,,,,,,1221,199,185,,,,,,,,,,,,,,,,
1841,Old School Branch,134443,7624,4484,,1842,8365,,,1911,,,,,,,23,1304,202,195,63,50,71,,,,,,,,,,,,,
1842,Old School Branch,140433,9944,4770,,2748,9567,,,1904,44,,,,,,21,1316,229,192,64,68,80,,,,,,,,,,,,,
1843,Old School Branch,159137,16416,5154,,4363,10625,,,2092,37,6,4,,10,7,,1434,314,183,58,51,72,30,,,,,,,,,,,,
1844,Old School Branch,166487,12068,5388,,3287,10996,,,2156,42,,,,8,4,,1523,364,203,64,69,84,51,,,,,,,,,,,,
1845,Old School Branch,171879,7329,5076,,1929,9608,,,2229,55,,,,11,10,,1562,346,224,69,64,76,46,,,,,,,,,,,,
1846,Old School Branch,174714,7792,5733,,2036,9677,,,2297,45,,,,14,4,23,1647,339,218,72,78,87,52,,,,,,,,,,,,
1847,Old School Branch,179453,7602,5673,,1794,9342,,,2376,44,,,,15,7,23,1713,343,231,82,64,72,52,,,,,,,,,,,,
1848,Old School Branch,192022,8851,6184,,2338,9837,,,2459,60,,,,27,5,19,1803,373,250,71,61,76,58,,,,,,,,,,,,
1849,Old School Branch,200830,8976,6351,,2412,9895,,,2512,55,,,,13,5,32,1860,364,252,72,62,91,60,,,,,,,,,,,,
1850,Old School Branch,207254,10358,7065,,2772,10372,,,2595,83,,,,17,11,26,1926,360,234,60,64,100,72,,,,,,,,,,,,
1851,Old School Branch,210306,10852,7892,,2918,10994,,,2675,81,7,1,4,28,9,29,2027,381,237,81,87,116,98,,,,,,,,,,,,
1852,Old School Branch,210414,9728,7541,,2549,11006,,,2733,75,2,,3,6,6,34,2039,353,229,71,72,111,106,,,,,,,,,,,,
1853,Old School Branch,219263,11846,8180,,2942,11644,,,2879,81,7,1,6,12,8,23,2139,363,232,78,74,118,103,,,,,,,,,,,,
1854,Old School Branch,225404,13433,8797,,3597,12041,,,2976,92,9,,11,23,11,41,2203,390,235,63,83,160,108,,,,,,,,,,,,
1855,Old School Branch,231404,13085,9386,,3433,11734,,,3079,77,,,7,15,7,48,2261,435,237,77,76,120,113,,,,,,,,,,,,
1856,Old School Branch,233755,12322,9266,,3189,11921,,102544,3146,85,,,24,31,5,38,2320,482,240,102,87,155,127,,,,,,,,,,,,
1857,Old School Branch,244825,13296,9719,,3376,13007,,119769,3251,109,,,19,33,9,46,2411,452,257,115,107,199,120,,,,,,,,,,,,
1858,Old School Branch,259335,20792,10558,,5170,13984,,136715,3324,109,9,,26,28,7,46,2468,468,256,121,102,171,146,,,,,,,,,,,,
1859,Old School Branch,279630,23945,10879,,6672,16194,,156121,3487,118,23,2,15,42,6,31,2577,493,297,132,91,189,134,,,,,,,,,,,,
1860,Old School Branch,292927,17899,11316,,5156,15631,,176422,3531,124,27,2,37,55,14,37,2656,534,338,166,114,166,123,,,,,,,,,,,,
1861,Old School Branch,300814,13680,9174,,3679,13436,,166112,3684,107,4,2,19,24,13,29,2767,545,369,149,107,141,101,,,,,,,,,,,,
1862,Old School Branch,303289,8804,6816,,2282,10372,,149096,3686,36,9,3,14,12,8,22,2859,544,363,94,88,117,99,,,,,,,,,,,,
1863,Old School Branch,227575,8781,6535,,2165,10194,,147974,2546,29,6,8,13,10,11,27,2205,399,288,82,91,100,94,,,,,,,,,,,,
1864,Old School Branch,231960,9250,7016,,2380,9801,,159089,2626,38,8,3,12,11,11,34,2265,366,292,91,95,121,100,,,,,,,,,,,,
1865,Old School Branch,232450,10540,8316,,2821,9692,,163574,2629,46,3,2,23,14,10,64,2301,319,266,103,94,149,109,,,,,,,,,,,,
1866,Old School Branch,239306,17937,10158,,5003,10006,,179703,2608,50,8,2,20,22,19,37,2294,324,255,103,93,145,112,,,,,,,,,,,,
1867,Old School Branch,246350,18808,13074,,5266,10269,,195023,2622,85,11,6,37,34,24,36,2302,312,254,92,101,180,142,,,,,,,,,,,,
